Processor;Model;Cores 1;Cores 2;Threads;Integrated graphics;CodeName
Core i5;11400H;6;0;12;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i5;11260H;6;0;12;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i5;11320H w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i5;11300H w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i5;1155G7;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i5;1145G7 w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i5;1145G7E w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i5;1145G7E;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i5;1135G7;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i5;1130G7 w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i5;1140G7 w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i3;11100HE;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i3;1125G4;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i3;1125G4 w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i3;1120G4 w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i3;1115GRE;2;0;4;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i3;1115G4E;2;0;4;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i3;1115G4;2;0;4;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i3;1115G4 w/ IPU;2;0;4;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i3;1110G4 w/ IPU;2;0;4;UHD Graphics for 11th Gen Processors;Tiger Lake
Pentium;Gold 7505 w/ IPU;2;0;4;UHD Graphics for 11th Gen Processors;Tiger Lake
Celeron;6600HE;2;0;2;UHD Graphics for 11th Gen Processors;Tiger Lake
Celeron;6305 w/ IPU;2;0;2;UHD Graphics for 11th Gen Processors;Tiger Lake
Celeron;6305E;2;0;2;UHD;Tiger Lake
;;;;;;
i9-10910;10;0;20;UHD 630;Comet Lake;
i9-10900K;10;0;20;UHD 631;Comet Lake;
i9-10900KF;10;0;20;—;Comet Lake;
i9-10900;10;0;20;UHD 630;Comet Lake;
i9-10900E;10;0;20;UHD 631;Comet Lake;
i9-10900F;10;0;20;—;Comet Lake;
i9-10900T;10;0;20;UHD 630;Comet Lake;
i9-10850K;10;0;20;UHD 631;Comet Lake;
i7-10700K;8;0;16;UHD 632;Comet Lake;
i7-10700KF;8;0;16;—;Comet Lake;
i7-10700;8;0;16;UHD 630;Comet Lake;
i7-10700E;8;0;16;UHD 631;Comet Lake;
i7-10700F;8;0;16;—;Comet Lake;
i7-10700T;8;0;16;UHD 630;Comet Lake;
i7-10700TE;8;0;16;UHD 631;Comet Lake;
i5-10600K;6;0;12;UHD 632;Comet Lake;
i5-10600KF;6;0;12;—;Comet Lake;
i5-10600;6;0;12;UHD 630;Comet Lake;
i5-10600T;6;0;12;UHD 631;Comet Lake;
i5-10505;6;0;12;UHD 632;Comet Lake;
i5-10500;6;0;12;UHD 633;Comet Lake;
i5-10500E;6;0;12;UHD 634;Comet Lake;
i5-10500T;6;0;12;UHD 635;Comet Lake;
i5-10500TE;6;0;12;UHD 636;Comet Lake;
i5-10400;6;0;12;UHD 637;Comet Lake;
i5-10400F;6;0;12;—;Comet Lake;
i5-10400T;6;0;12;UHD 630;Comet Lake;
i3-10320;4;0;8;UHD 631;Comet Lake;
i3-10300;4;0;8;UHD 632;Comet Lake;
i3-10300T;4;0;8;UHD 633;Comet Lake;
i3-10100;4;0;8;UHD 634;Comet Lake;
i3-10100E;4;0;8;UHD 635;Comet Lake;
i3-10100F;4;0;8;—;Comet Lake;
i3-10100T;4;0;8;UHD 630;Comet Lake;
i3-10100TE;4;0;8;UHD 631;Comet Lake;
;;;;;;
i7-1065G7;4;0;8;Iris Plus;Ice Lake;
i7-1060G7;4;0;8;Iris Plus;Ice Lake;
i7-10750H;6;0;12;UHD;Comet Lake;
i7-10710U;6;0;12;UHD;Comet Lake;
i7-10610U;4;0;8;UHD;Comet Lake;
i7-10510U;4;0;8;UHD;Comet Lake;
i7-10510Y;4;0;8;UHD;Amber Lake Y;
i5-10500H;6;0;12;UHD;Comet Lake;
i5-10210U;4;0;8;UHD 620;Comet Lake;
i3-10110Y;2;0;4;UHD 615;Amber Lake Y;
;;;;;;
i9-9900KS;8;0;16;UHD 630;Coffee Lake;
i9-9900K;8;0;16;UHD 630;Coffee Lake;
i9-9900;8;0;16;UHD 630;Coffee Lake;
i9-9900T;8;0;16;UHD 630;Coffee Lake;
i7-9700K;8;0;8;UHD 630;Coffee Lake;
i7-9700;8;0;8;UHD 630;Coffee Lake;
i7-9700T;8;0;8;UHD 630;Coffee Lake;
i7-9700TE;8;0;8;UHD 630;Coffee Lake;
i5-9600K;6;0;6;UHD 630;Coffee Lake;
i5-9600KF;6;0;6;—;Coffee Lake;
i5-9600;6;0;6;UHD 630;Coffee Lake;
i5-9600T;6;0;6;UHD 630;Coffee Lake;
i5-9500;6;0;6;UHD 630;Coffee Lake;
i5-9500E;6;0;6;UHD 630;Coffee Lake;
i5-9500F;6;0;6;—;Coffee Lake;
i5-9500T;6;0;6;UHD 630;Coffee Lake;
i5-9500TE;6;0;6;UHD 630;Coffee Lake;
i5-9400;6;0;6;UHD 630;Coffee Lake;
i5-9400F;6;0;6;—;Coffee Lake;
i5-9400T;6;0;6;UHD 630;Coffee Lake;
i3-9350K;4;0;4;UHD 630;Coffee Lake;
i3-9350KF;4;0;4;—;Coffee Lake;
i3-9320;4;0;4;UHD 630;Coffee Lake;
i3-9300;4;0;4;UHD 630;Coffee Lake;
i3-9300T;4;0;4;UHD 630;Coffee Lake;
i3-9100;4;0;4;UHD 630;Coffee Lake;
i3-9100E;4;0;4;UHD 630;Coffee Lake;
i3-9100F;4;0;4;—;Coffee Lake;
i3-9100T;4;0;4;UHD 630;Coffee Lake;
i3-9100TE;4;0;4;UHD 630;Coffee Lake;
;;;;;;
i7-8700K;6;0;12;UHD 630;Coffee Lake;
i7-8700;6;0;12;UHD 630;Coffee Lake;
i7-8086K;6;0;12;UHD 630;Coffee Lake;
i5-8600K;6;0;6;UHD 630;Coffee Lake;
i5-8500;6;0;6;UHD 630;Coffee Lake;
i5-8400;6;0;6;UHD 630;Coffee Lake;
i3-8350K;4;0;4;UHD 630;Coffee Lake;
i3-8100;4;0;4;UHD 630;Coffee Lake;
;;;;;;
m3-8100Y;2;0;4;UHD 615;Amber Lake Y;
i9-8950HK;6;0;12;UHD 630;Coffee Lake;
i7-8850H;6;0;12;UHD 630;Coffee Lake;
i7-8750H;6;0;12;UHD 630;Coffee Lake;
i7-8700B;6;0;12;UHD 630;Coffee Lake;
i7-8665U;4;0;8;UHD 620;Whiskey Lake;
i7-8650U;4;0;8;UHD 620;Kaby Lake R;
i7-8569U;4;0;8;Iris Plus 655;Coffee Lake;
i7-8565U;4;0;8;UHD;Whiskey Lake;
i7-8559U;4;0;8;Iris Plus 655;Coffee Lake;
i7-8557U;4;0;8;Iris Plus 645;Coffee Lake;
